,District,Age,Sex,Count
0,1,1,1,7055
1,1,1,2,6865
2,1,2,1,2345
3,1,2,2,2200
4,1,3,1,2025
5,1,3,2,2070
6,1,4,1,2180
7,1,4,2,2235
8,1,5,1,2515
9,1,5,2,2725
10,1,6,1,2650
11,1,6,2,2910
12,1,7,1,3050
13,1,7,2,3120
14,1,8,1,3185
15,1,8,2,3270
16,1,9,1,3400
17,1,9,2,3525
18,1,10,1,3375
19,1,10,2,3535
20,1,11,1,3310
21,1,11,2,3460
22,1,12,1,3035
23,1,12,2,3165
24,1,13,1,2020
25,1,13,2,2015
26,1,14,1,1230
27,1,14,2,1250
28,1,15,1,670
29,1,15,2,825
30,1,16,1,270
31,1,16,2,525
32,1,17,1,105
33,1,17,2,265
34,1,18,1,25
35,1,18,2,75
36,1,19,1,0
37,1,19,2,15
38,2,1,1,4705
39,2,1,2,4410
40,2,2,1,1915
41,2,2,2,1790
42,2,3,1,1525
43,2,3,2,1335
44,2,4,1,1320
45,2,4,2,1270
46,2,5,1,1460
47,2,5,2,1600
48,2,6,1,1760
49,2,6,2,1930
50,2,7,1,2225
51,2,7,2,2385
52,2,8,1,2745
53,2,8,2,2885
54,2,9,1,3230
55,2,9,2,3265
56,2,10,1,3320
57,2,10,2,3500
58,2,11,1,3725
59,2,11,2,3735
60,2,12,1,3430
61,2,12,2,3445
62,2,13,1,2370
63,2,13,2,2370
64,2,14,1,1445
65,2,14,2,1570
66,2,15,1,850
67,2,15,2,1030
68,2,16,1,400
69,2,16,2,680
70,2,17,1,130
71,2,17,2,260
72,2,18,1,25
73,2,18,2,85
74,2,19,1,0
75,2,19,2,10
76,3,1,1,5205
77,3,1,2,4880
78,3,2,1,2105
79,3,2,2,1995
80,3,3,1,1630
81,3,3,2,1510
82,3,4,1,1475
83,3,4,2,1535
84,3,5,1,1605
85,3,5,2,1825
86,3,6,1,1825
87,3,6,2,2115
88,3,7,1,2380
89,3,7,2,2640
90,3,8,1,2965
91,3,8,2,3100
92,3,9,1,3220
93,3,9,2,3280
94,3,10,1,3510
95,3,10,2,3610
96,3,11,1,3445
97,3,11,2,3555
98,3,12,1,3195
99,3,12,2,3375
100,3,13,1,2320
101,3,13,2,2400
102,3,14,1,1520
