,age,gender,district,Count
0,1,0,1,7055
1,1,1,1,6865
2,2,0,1,2345
3,2,1,1,2200
4,3,0,1,2025
5,3,1,1,2070
6,4,0,1,2180
7,4,1,1,2235
8,5,0,1,2515
9,5,1,1,2725
10,6,0,1,2650
11,6,1,1,2910
12,7,0,1,3050
13,7,1,1,3120
14,8,0,1,3185
15,8,1,1,3270
16,9,0,1,3400
17,9,1,1,3525
18,10,0,1,3375
19,10,1,1,3535
20,11,0,1,3310
21,11,1,1,3460
22,12,0,1,3035
23,12,1,1,3165
24,13,0,1,2020
25,13,1,1,2015
26,14,0,1,1230
27,14,1,1,1250
28,15,0,1,670
29,15,1,1,825
30,1,0,2,4705
31,1,1,2,4410
32,2,0,2,1915
33,2,1,2,1790
34,3,0,2,1525
35,3,1,2,1335
36,4,0,2,1320
37,4,1,2,1270
38,5,0,2,1460
39,5,1,2,1600
40,6,0,2,1760
41,6,1,2,1930
42,7,0,2,2225
43,7,1,2,2385
44,8,0,2,2745
45,8,1,2,2885
46,9,0,2,3230
47,9,1,2,3265
48,10,0,2,3320
49,10,1,2,3500
50,11,0,2,3725
51,11,1,2,3735
52,12,0,2,3430
53,12,1,2,3445
54,13,0,2,2370
55,13,1,2,2370
56,14,0,2,1445
57,14,1,2,1570
58,15,0,2,850
59,15,1,2,1030
60,1,0,3,5205
61,1,1,3,4880
62,2,0,3,2105
63,2,1,3,1995
64,3,0,3,1630
65,3,1,3,1510
66,4,0,3,1475
67,4,1,3,1535
68,5,0,3,1605
69,5,1,3,1825
70,6,0,3,1825
71,6,1,3,2115
72,7,0,3,2380
73,7,1,3,2640
74,8,0,3,2965
75,8,1,3,3100
76,9,0,3,3220
77,9,1,3,3280
78,10,0,3,3510
79,10,1,3,3610
80,11,0,3,3445
81,11,1,3,3555
82,12,0,3,3195
83,12,1,3,3375
84,13,0,3,2320
85,13,1,3,2400
86,14,0,3,1520
87,14,1,3,1680
88,15,0,3,990
89,15,1,3,1140
90,1,0,4,2775
91,1,1,4,2580
92,2,0,4,910
93,2,1,4,865
94,3,0,4,840
95,3,1,4,840
96,4,0,4,935
97,4,1,4,980
98,5,0,4,960
99,5,1,4,1030
100,6,0,4,930
101,6,1,4,940
102,7,0,4,1060
103,7,1,4,1040
104,8,0,4,1160
105,8,1,4,1110
106,9,0,4,1095
107,9,1,4,985
108,10,0,4,900
109,10,1,4,895
110,11,0,4,820
111,11,1,4,750
112,12,0,4,600
113,12,1,4,560
114,13,0,4,390
115,13,1,4,365
116,14,0,4,235
117,14,1,4,235
118,15,0,4,130
119,15,1,4,130
120,1,0,5,5660
