,age,gender,district,Count
0,1,1,1,7055
1,1,2,1,6865
2,2,1,1,2345
3,2,2,1,2200
4,3,1,1,2025
5,3,2,1,2070
6,4,1,1,2180
7,4,2,1,2235
8,5,1,1,2515
9,5,2,1,2725
10,6,1,1,2650
11,6,2,1,2910
12,7,1,1,3050
13,7,2,1,3120
14,8,1,1,3185
15,8,2,1,3270
16,9,1,1,3400
17,9,2,1,3525
18,10,1,1,3375
19,10,2,1,3535
20,11,1,1,3310
21,11,2,1,3460
22,12,1,1,3035
23,12,2,1,3165
24,13,1,1,2020
25,13,2,1,2015
26,14,1,1,1230
27,14,2,1,1250
28,15,1,1,670
29,15,2,1,825
30,16,1,1,400
31,16,2,1,885
32,1,1,2,4705
33,1,2,2,4410
34,2,1,2,1915
35,2,2,2,1790
36,3,1,2,1525
37,3,2,2,1335
38,4,1,2,1320
39,4,2,2,1270
40,5,1,2,1460
41,5,2,2,1600
42,6,1,2,1760
43,6,2,2,1930
44,7,1,2,2225
45,7,2,2,2385
46,8,1,2,2745
47,8,2,2,2885
48,9,1,2,3230
49,9,2,2,3265
50,10,1,2,3320
51,10,2,2,3500
52,11,1,2,3725
53,11,2,2,3735
54,12,1,2,3430
55,12,2,2,3445
56,13,1,2,2370
57,13,2,2,2370
58,14,1,2,1445
59,14,2,2,1570
60,15,1,2,850
61,15,2,2,1030
62,16,1,2,555
63,16,2,2,1035
64,1,1,3,5205
65,1,2,3,4880
66,2,1,3,2105
67,2,2,3,1995
68,3,1,3,1630
69,3,2,3,1510
70,4,1,3,1475
71,4,2,3,1535
72,5,1,3,1605
73,5,2,3,1825
74,6,1,3,1825
75,6,2,3,2115
76,7,1,3,2380
77,7,2,3,2640
78,8,1,3,2965
79,8,2,3,3100
80,9,1,3,3220
81,9,2,3,3280
82,10,1,3,3510
83,10,2,3,3610
84,11,1,3,3445
85,11,2,3,3555
86,12,1,3,3195
87,12,2,3,3375
88,13,1,3,2320
89,13,2,3,2400
90,14,1,3,1520
91,14,2,3,1680
92,15,1,3,990
93,15,2,3,1140
94,16,1,3,645
95,16,2,3,1020
96,1,1,4,2775
97,1,2,4,2580
98,2,1,4,910
99,2,2,4,865
100,3,1,4,840
101,3,2,4,840
102,4,1,4,935
103,4,2,4,980
104,5,1,4,960
105,5,2,4,1030
106,6,1,4,930
107,6,2,4,940
108,7,1,4,1060
109,7,2,4,1040
110,8,1,4,1160
111,8,2,4,1110
112,9,1,4,1095
113,9,2,4,985
114,10,1,4,900
115,10,2,4,895
116,11,1,4,820
117,11,2,4,750
118,12,1,4,600
119,12,2,4,560
120,13,1,4,390
121,13,2,4,365
122,14,1,4,235
123,14,2,4,235
124,15,1,4,130
125,15,2,4,130
126,16,1,4,65
127,16,2,4,100
128,1,1,5,5660
129,1,2,5,5405
130,2,1,5,2205
131,2,2,5,2120
132,3,1,5,2025
133,3,2,5,1955
134,4,1,5,1800
135,4,2,5,1860
136,5,1,5,1835
137,5,2,5,2030
138,6,1,5,1920
139,6,2,5,2355
140,7,1,5,2515
141,7,2,5,2760
142,8,1,5,3040
143,8,2,5,3350
144,9,1,5,3635
145,9,2,5,3935
146,10,1,5,3935
147,10,2,5,4060
148,11,1,5,3965
149,11,2,5,4130
150,12,1,5,3600
151,12,2,5,3595
152,13,1,5,2490
153,13,2,5,2675
154,14,1,5,1665
155,14,2,5,1770
156,15,1,5,1050
157,15,2,5,1290
158,16,1,5,720
159,16,2,5,1215
160,1,1,6,6845
161,1,2,6,6570
162,2,1,6,2300
163,2,2,6,2190
164,3,1,6,3240
165,3,2,6,3295
166,4,1,6,3400
167,4,2,6,3120
168,5,1,6,2910
169,5,2,6,3060
170,6,1,6,2885
171,6,2,6,3075
172,7,1,6,2975
173,7,2,6,3095
174,8,1,6,2970
175,8,2,6,3205
176,9,1,6,2995
177,9,2,6,3260
178,10,1,6,2880
179,10,2,6,3025
180,11,1,6,2470
181,11,2,6,2765
182,12,1,6,2110
183,12,2,6,2425
184,13,1,6,1610
185,13,2,6,1770
186,14,1,6,985
187,14,2,6,1180
188,15,1,6,655
189,15,2,6,895
190,16,1,6,485
191,16,2,6,1030
192,1,1,7,5965
193,1,2,7,5520
194,2,1,7,2205
195,2,2,7,2130
196,3,1,7,2630
197,3,2,7,2780
198,4,1,7,2985
199,4,2,7,3145
200,5,1,7,2905
201,5,2,7,2950
202,6,1,7,2585
203,6,2,7,2865
204,7,1,7,2535
205,7,2,7,2730
206,8,1,7,2675
207,8,2,7,3000
208,9,1,7,3160
209,9,2,7,3640
210,10,1,7,3110
211,10,2,7,3425
212,11,1,7,2830
213,11,2,7,3065
214,12,1,7,2335
215,12,2,7,2620
216,13,1,7,1530
217,13,2,7,1855
218,14,1,7,940
219,14,2,7,1255
220,15,1,7,545
221,15,2,7,875
222,16,1,7,365
223,16,2,7,830
224,1,1,8,3145
225,1,2,8,2920
226,2,1,8,1140
227,2,2,8,1090
228,3,1,8,1115
229,3,2,8,995
230,4,1,8,885
231,4,2,8,955
232,5,1,8,985
233,5,2,8,1015
234,6,1,8,1070
235,6,2,8,1095
236,7,1,8,1130
237,7,2,8,1175
238,8,1,8,1210
239,8,2,8,1260
240,9,1,8,1415
241,9,2,8,1495
242,10,1,8,1380
243,10,2,8,1495
244,11,1,8,1355
245,11,2,8,1435
246,12,1,8,1325
247,12,2,8,1355
248,13,1,8,860
249,13,2,8,865
250,14,1,8,515
