1,Canada (01)   20000 (  4.0%),Canada,1,4
10,Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000 (  4.0%),Newfoundland and Labrador / Terre-Neuve-et-Labrador,10,4
10001,Avalon (10001)   00000 (  3.6%),Avalon,10001,3.6
10002,Bonavista--Burin--Trinity (10002)   00000 (  3.8%),Bonavista--Burin--Trinity,10002,3.8
10003,Coast of Bays--Central--Notre Dame (10003)   00000 (  4.4%),Coast of Bays--Central--Notre Dame,10003,4.4
10004,Labrador (10004)   00000 (  4.9%),Labrador,10004,4.9
10005,Long Range Mountains (10005)   00000 (  4.7%),Long Range Mountains,10005,4.7
10006,St. John's East / St. John's-Est (10006)   00000 (  3.7%),St. John's East / St. John's-Est,10006,3.7
10007,St. John's South--Mount Pearl / St. John's-Sud--Mount Pearl (10007)   00000 (  3.7%),St. John's South--Mount Pearl / St. John's-Sud--Mount Pearl,10007,3.7
11,Prince Edward Island / ï¿½le-du-Prince-ï¿½douard (11)   00000 (  4,Prince Edward Island / ï¿½le-du-Prince-ï¿½do,11,4.1
11001,Cardigan (11001)   00000 (  3.8%),Cardigan,11001,3.8
11002,Charlottetown (11002)   00000 (  4.8%),Charlottetown,11002,4.8
11003,Egmont (11003)   00000 (  4.1%),Egmont,11003,4.1
11004,Malpeque (11004)   00000 (  3.7%),Malpeque,11004,3.7
12,Nova Scotia / Nouvelle-ï¿½cosse (12)   00000 (  3.9,Nova Scotia / Nouvelle-ï¿½cos,12,3.9
12001,Cape Breton--Canso (12001)   00000 (  4.3%),Cape Breton--Canso,12001,4.3
12002,Central Nova / Nova-Centre (12002)   00000 (  4.0%),Central Nova / Nova-Centre,12002,4
12003,Cumberland--Colchester (12003)   00000 (  4.1%),Cumberland--Colchester,12003,4.1
12004,Dartmouth--Cole Harbour (12004)   00000 (  3.5%),Dartmouth--Cole Harbour,12004,3.5
12005,Halifax (12005)   00100 (  5.4%),Halifax,12005,5.4
12006,Halifax West / Halifax-Ouest (12006)   00000 (  3.3%),Halifax West / Halifax-Ouest,12006,3.3
12007,Kings--Hants (12007)   00000 (  3.6%),Kings--Hants,12007,3.6
12008,Sackville--Preston--Chezzetcook (12008)   00000 (  2.7%),Sackville--Preston--Chezzetcook,12008,2.7
12009,South Shore--St. Margarets (12009)   00000 (  3.6%),South Shore--St. Margarets,12009,3.6
